canonical_id,v1_score,v1_evidence,v1_reason,v2_score,v2_evidence,v2_reason,score_changed,crossed_main_threshold
32,1,熟练使用PR、AE、PS等剪辑软件,岗位要求使用视频剪辑软件，但核心是摄像和剪辑，软件为工具。,1,熟练使用PR、AE、PS等剪辑软件,岗位核心是摄像剪辑，PR/AE/PS是辅助创作工具，移除后剪辑工作仍可进行，因此为1分；未涉及软件开发或AI，故不是2或3分。,False,False
33,0,,岗位为证券事务专员，涉及法律法规，无AI或数字技术内容。,0,,岗位职责为证券事务、法律合规，未明示要求任何数字工具或技术，因此为0分；不是1分，因为无任何数字工具使用要求。,False,False
34,0,,岗位为车间管理，职责为生产管理、质量控制等，无数字技术内容。,0,,岗位职责为车间生产管理，未明示要求任何数字工具或技术，因此为0分；不是1分，因为无任何数字工具使用要求。,False,False
35,0,,岗位职责和描述均围绕市场拓展、客户关系维护等传统业务，未涉及AI或数字技术。,0,,岗位职责为市场拓展、客户关系维护和品牌推广，未明示要求任何数字工具、信息系统、编程或AI技术。移除数字技术后核心产出仍成立，因此为0分，不是1分（无工具使用要求）。,False,False
36,1,对案件损失进行系统预估录入,岗位涉及使用系统进行数据录入，但仅为辅助工作，核心是现场查勘和理赔指导。,1,对案件损失进行系统预估录入,岗位核心是车物查勘定损，系统录入是辅助性数字工具使用，移除后查勘定损仍成立，因此为1分。不是0分（明确提及系统录入），也不是2分（系统录入非核心产出）。,False,False
37,0,,药品QA岗位职责为取样、环境监测、现场监督等，未提及数字技术或AI。,0,,岗位职责为药品质量保证，包括取样、环境监测、现场监督等，未明示要求任何数字工具或技术。移除数字技术后核心产出仍成立，因此为0分，不是1分（无工具使用要求）。,False,False
38,0,,岗位描述为设备维修管理，未涉及任何AI或数字技术内容,0,,岗位职责为设备维修管理，未明示要求使用数字工具、信息系统或编程。移除数字技术后核心产出仍成立，因此为0分，不是1分（无工具使用要求）。,False,False
39,0,,生产运营总监职责为生产调度、进度控制等，未涉及数字技术或AI。,0,,岗位职责为生产任务安排、进度控制和人员管理，未明示要求任何数字工具或技术。移除数字技术后核心产出仍成立，因此为0分，不是1分（无工具使用要求）。,False,False
40,1,对校招相关数据进行检测、整理、分析,涉及校招数据的检测、整理和分析，但仅为辅助招聘工作。,1,对校招相关数据进行检测、整理、分析,岗位核心是校园招聘，数据分析是辅助性数字工具使用，移除后招聘工作仍成立，因此为1分。不是0分（明确提及数据分析），也不是2分（数据分析非核心产出）。,False,False
41,1,图纸评审|产品工艺方案|现场工艺指导,技术员岗位涉及图纸评审和工艺方案，可能使用CAD等数字工具，但核心是机械加工技术。,0,,岗位职责为机械加工技术指导，未明示要求任何数字工具或技术。移除数字技术后核心产出仍成立，因此为0分，不是1分（无工具使用要求）。,True,False
42,0,,内审主管职责为审计、收集证据、出具报告，未涉及数字技术或AI。,0,,岗位职责为内部审计，未明示要求任何数字工具或技术。移除数字技术后核心产出仍成立，因此为0分，不是1分（无工具使用要求）。,False,False
43,0,,与42相同，内审主管职责未涉及数字技术或AI。,0,,岗位核心是审计，描述中未提及任何数字工具、信息系统或技术使用要求，因此为0分。不是1分，因为无任何数字工具要求。,False,False
44,0,,综合金融客户经理职责为销售金融产品，未涉及数字技术或AI。,0,,岗位是金融产品销售，描述中未明示要求使用数字工具或技术，仅列出金融产品和服务，因此为0分。不是1分，因为无任何数字工具要求。,False,False
45,1,负责总部电脑以及无分公司地区电脑验收、升级、维修管理|负责办公用品以及公司促销品、携税宝出库入库管理,涉及电脑验收、升级和库存管理，可能使用信息系统，但仅为辅助行政工作。,0,,岗位是资产管理，描述中仅提及行政工作经验和电脑验收，但未明确要求使用数字工具或系统，因此为0分。不是1分，因为无明确数字工具要求。,True,False
46,1,会使用UG、CAD、办公软件等,岗位要求使用UG、CAD等设计软件，但核心是项目助理工作，软件为辅助工具。,1,会使用UG、CAD、办公软件等,岗位核心是项目助理，使用UG、CAD和办公软件是辅助工具，移除后项目助理工作仍可进行，因此为1分。不是2分，因为软件使用不是核心产出。,False,False
47,2,负责大容量、高并发的应用产品或技术产品的架构设计、研发工作|精通Java EE相关技术、Spring、struts、iBatis等开源技术和框架|熟悉云计算分布式相关技术,系统架构师岗位核心是软件架构设计、研发，涉及高并发、分布式等技术，属于软件和信息化核心。,2,负责组织关键技术研究和攻关工作|负责大容量、高并发的应用产品或技术产品的架构设计、研发工作|精通Java EE相关技术、Spring、struts、iBatis等开源技术和框架,岗位核心是软件系统架构设计与研发，属于核心数字技术，因此为2分。不是3分，因为未明确涉及AI/ML。,False,False
48,1,负责公司旗下电商平台的在线客服|负责客户信息资料管理与整合,电商客服使用在线平台和客户信息管理，但仅为辅助沟通和数据管理。,0,,岗位是电商客服，描述中未提及任何数字工具或技术使用要求，因此为0分。不是1分，因为无任何数字工具要求。,True,False
49,1,能够掌握并熟练操作基本的办公软件,生产经理要求熟练操作办公软件，但核心是生产管理，软件仅为辅助。,1,能够掌握并熟练操作基本的办公软件,岗位核心是生产管理，办公软件是辅助工具，移除后生产管理职责仍成立，因此为1分。不是2分，因为软件使用不是核心产出。,False,False
51,1,熟练掌握CAD/MATLAB等设计软件,水冷板研发工程师要求使用CAD/MATLAB等设计软件，但核心是产品研发和工艺优化，软件为辅助工具。,1,熟练掌握CAD/MATLAB等设计软件,岗位核心是水冷板研发，CAD/MATLAB是辅助设计工具，移除后研发工作仍可进行，因此为1分。不是2分，因为软件使用不是核心产出，且未涉及AI/ML。,False,False
52,2,三维配管软件如PDMS|应力计算软件|数据处理和办公软件,岗位核心职责包括使用专业三维配管软件和应力计算软件，软件和数据处理是核心技能。,1,熟练掌握该岗位相关的数据处理和办公软件|熟悉化工行业主流的三维配管软件如PDMS等的使用,岗位核心是配管设计，使用PDMS等软件是辅助设计工具，移除软件后设计产出仍存在，因此为1分；不是0分因为明确要求使用专业软件，不是2分因为软件使用是辅助而非核心开发。,True,True
54,0,,行政主管岗位描述未提及任何AI或数字技术内容，仅涉及行政事务。,0,,岗位职责为行政事务，未明示要求任何数字工具或技术，因此为0分；不是1分因为无任何软件或系统使用要求。,False,False
55,0,,董事长秘书岗位描述未提及任何AI或数字技术内容。,0,,岗位描述仅要求学历、经验、开车等，未提及任何数字工具或技术，因此为0分；不是1分因为无相关要求。,False,False
56,1,经营数据分析治理|系统性BI报表设计|管理数据支持模式,岗位涉及数据分析和BI报表设计，但仅为辅助销售管理，非核心研发。,2,部门经营数据分析治理|系统性BI报表设计|健全管理数据支持模式,岗位明确将数据分析治理和BI报表设计列为核心职责，属于数据系统建设，技术为核心产出，故评为2分；不是1分因为数据治理是核心而非辅助，不是3分因为未涉及AI/ML。,True,True
57,0,,水处理项目方案技术员岗位描述未提及任何AI或数字技术内容，主要是订单处理和沟通。,0,,岗位职责为订单制作、资料收发、生产安排等，未明示要求数字工具或技术，因此为0分；不是1分因为无软件或系统使用要求。,False,False
58,1,熟练使用办公软件,办公软件仅作为行政辅助工具，非核心工作内容,1,熟练使用办公软件,岗位核心是房地产开发管理，办公软件是辅助工具，移除后管理职责仍成立，因此为1分；不是0分因为明确要求使用办公软件，不是2分因为软件使用是辅助而非核心开发。,False,False
59,0,,企业文化专员岗位描述未提及任何AI或数字技术内容。,0,,岗位职责为企业文化建设、宣传、稿件撰写等，未明示要求数字工具或技术，因此为0分；不是1分因为无软件或系统使用要求。,False,False
60,0,,保险业务督导员岗位描述未提及任何AI或数字技术内容，主要是保单整理和客户服务。,1,对VIP会员客户保单整理|对VIP会员客户资料变更录入,岗位核心是保险业务服务，录入和整理保单涉及使用信息系统，但属于辅助性操作，移除后服务职责仍成立，因此为1分；不是0分因为明确涉及系统录入，不是2分因为系统使用是辅助而非核心开发。,True,False
61,0,,综合金融客户经理岗位描述未提及任何AI或数字技术内容，主要是销售和客户开发。,0,,岗位是金融销售，职责为沟通、客户开发、销售，未明示要求任何数字工具、信息系统、编程或AI技术。因此为0分，不是1分（无辅助数字工具要求）。,False,False
62,0,,项目经理岗位描述未提及任何AI或数字技术内容，主要是施工管理。,0,,岗位是施工项目经理，职责为施工计划、质量安全、现场协调，未明示要求数字工具或技术。因此为0分，不是1分（无辅助数字工具要求）。,False,False
63,0,,制剂研发岗位描述未提及任何AI或数字技术内容，主要是药学实验和设备操作。,0,,岗位是制剂研发，职责为制剂研发流程及设备操作，未明示要求数字工具、编程或AI。因此为0分，不是1分（无辅助数字工具要求）。,False,False
64,1,熟练掌握办公软件的运用,岗位要求熟练掌握办公软件，但仅为辅助人事工作，非核心。,1,熟练掌握办公软件的运用,岗位是人事行政，核心为人事档案、薪资核算等，要求熟练使用办公软件作为辅助工具。因此为1分，不是0分（明确要求办公软件），也不是2分（软件非核心产出）。,False,False
65,1,熟悉办公软件操作,办公软件用于辅助查勘定损文档处理，非岗位核心,1,熟悉办公软件操作,岗位是车物查勘定损，核心为现场查勘、定损、理赔，要求熟悉办公软件作为辅助。因此为1分，不是0分（明确要求办公软件），也不是2分（软件非核心产出）。,False,False
66,1,熟悉使用日常office办公软件|熟悉2D/3D等相关设计软件,IE工程师使用办公和设计软件辅助生产改善，数据与软件为辅助角色,1,熟悉使用日常office办公软件|熟悉2D/3D等相关设计软件,岗位是IE工程师，核心为精益生产、现场改善，使用办公软件和设计软件作为辅助工具。因此为1分，不是0分（明确要求软件），也不是2分（软件非核心产出，未涉及开发或AI）。,False,False
67,0,,招聘专员岗位描述未提供具体内容，无法判断有数字技术。,0,,岗位是招聘专员，描述仅提及招聘相关工作，未明示任何数字工具或技术要求。因此为0分，不是1分（无辅助数字工具要求）。,False,False
68,0,,医疗器械销售代表岗位描述未提及任何AI或数字技术内容，主要是销售和跟台。,0,,岗位是医疗器械销售代表，职责为产品销售、跟台、客户维护，未明示要求数字工具或技术。因此为0分，不是1分（无辅助数字工具要求）。,False,False
69,0,,岗位为化学工艺实验员，无AI或数字技术内容。,0,,岗位职责为化学工艺实验与生产跟踪，未明示要求任何数字工具、信息系统、编程或数据分析。因此为0分，不是1分（无辅助数字工具要求）。,False,False
70,0,,岗位为销售经理，描述未提及任何数字工具或技术系统,0,,岗位为车险销售经理，职责包括报价咨询、出单、关系维护等，未明示要求使用数字工具或系统。因此为0分，不是1分（无辅助数字工具要求）。,False,False
71,0,,金融顾问岗位，无AI或数字技术内容。,0,,岗位为综合金融与健康服务顾问，职责涉及法律、金融、保险等服务，未明示要求数字工具或技术。因此为0分，不是1分（无辅助数字工具要求）。,False,False
72,1,数据统计|办公软件使用方法,涉及数据统计和办公软件，但仅为辅助工作。,1,掌握办公软件使用方法|具备基本的网络知识,岗位为生产统计，核心职责是报表统计与数据处理，但要求仅为办公软件和基本网络知识，属于辅助工具使用，非核心数字技术产出。因此为1分，不是0分（有明确数字工具要求）或2分（非软件开发或系统建设）。,False,False
73,2,信息安全管理制度体系建设|ISO27001|等级保护|数据安全防护体系|平台建设,岗位核心是信息安全管理体系与数据安全平台建设，属于信息化核心工作。,2,信息安全管理制度体系建设|等级保护测评、信息安全风险评估|数据安全防护体系的规划与建设,岗位核心职责是信息安全体系管理、合规检查与数据安全建设，属于信息系统安全领域的核心数字技术工作，但未涉及AI/ML研发。因此为2分，不是1分（非辅助工具使用）或3分（无AI/ML要求）。,False,False
74,1,人力资源系统|Excel等办公软件,使用人力资源系统和Excel，但仅为辅助性工具。,1,熟练使用Excel等办公软件,岗位为HR运营专员，核心职责是员工入职手续与档案管理，要求熟练使用Excel等办公软件，属于辅助工具使用。因此为1分，不是0分（有明确数字工具要求）或2分（非软件开发或系统建设）。,False,False
75,2,solidworks软件|自动化设备机构设计与制造|非标自动化,岗位核心是使用SolidWorks进行自动化设备设计，涉及软件和自动化技术。,1,应用solidworks软件做自动化设备机构设计与制造,岗位为机械工程师，核心职责是自动化设备机械设计，使用SolidWorks作为专业工具，但机械设计本身是核心产出，软件仅为辅助。因此为1分，不是0分（有明确数字工具要求）或2分（非软件开发或核心数字技术）。,True,True
76,0,,物业市场拓展，无AI或数字技术内容。,0,,岗位为物业市场拓展经理，职责包括项目拓展、商务谈判、方案拟定等，未明示要求任何数字工具或技术。因此为0分，不是1分（无辅助数字工具要求）。,False,False
77,0,,车险查勘定损，无AI或数字技术内容。,0,,岗位职责为查勘定损、理赔服务，未明示要求任何数字工具、信息系统或编程技能，因此为0分；不是1分，因为未提及Office等辅助工具。,False,False
78,0,,综合金融客户经理，无AI或数字技术内容。,0,,岗位为客户经理，职责为老客户维护、保全、理赔等，未明示要求数字工具或技术，因此为0分；不是1分，因为未提及任何数字工具使用。,False,False
79,0,,大客户销售经理，无AI或数字技术内容。,0,,岗位为销售经理，职责为销售、团队管理，未明示要求数字工具或技术，因此为0分；不是1分，因为未提及Office等辅助工具。,False,False
80,0,,医疗器械销售管理，无AI或数字技术内容。,0,,岗位为省区经理，职责为销售计划、团队管理、渠道拓展，未明示要求数字工具或技术，因此为0分；不是1分，因为未提及任何数字工具使用。,False,False
81,0,,物业工程主管，无AI或数字技术内容。,0,,岗位为物业工程主管，职责为机电设备管理、维修保养，未明示要求数字工具或编程，因此为0分；不是1分，因为未提及Office等辅助工具。,False,False
83,0,,采购员，无AI或数字技术内容。,0,,岗位为采购员，仅要求工作经验，未明示任何数字工具或技术，因此为0分；不是1分，因为未提及Office等辅助工具。,False,False
84,2,电商运营|淘宝自然搜索SEO|直通车(CPC)|钻石展位(CPM)|广告投放,岗位核心是天猫电商运营，涉及SEO、广告投放等数字营销技术。,1,"熟悉淘宝自然搜索SEO|熟悉淘宝店铺运营广告投放的形式与方法,对淘宝钻石展位(CPM),直通车(CPC),淘宝各项活动平台,如聚划算,淘金币,相关类目主题活动等熟悉",岗位核心是电商运营，使用淘宝SEO、广告投放等数字工具辅助销售，但移除这些工具后销售主业仍成立，因此为1分；不是2分，因为不涉及软件开发或系统搭建。,True,True
85,1,数字化营销工具|宣传视频|PS,协助制作数字化营销工具，使用PS等，但仅为辅助性工作。,1,"协助管理和制作各种对内对外的数字化营销工具,例如宣传图片,宣传视频及其他数字化工具|擅长摄影,写作,设计,PS等",岗位为品牌管理实习生，使用PS等设计软件制作宣传材料，属于辅助工具，移除后品牌管理主业仍成立，因此为1分；不是2分，因为不涉及软件开发或核心数字技术。,False,False
86,0,,岗位职责涉及环境业务管理、清洁绿化、团队管理，无AI或数字技术内容。,1,熟悉管理工具,岗位核心是环境业务管理（清洁绿化、团队建设），提及“熟悉管理工具”仅为辅助管理手段，移除后管理职责仍成立，故为1分；未涉及软件开发或AI研发，因此不是2或3分。,True,False
87,0,,岗位职责为渠道运营、销售拓展、佣金处理，无AI或数字技术内容。,0,,岗位职责为渠道运营、中介拓展、佣金处理等，未明示要求任何数字工具、信息系统或技术技能，故为0分；不是1分，因无Office、ERP等工具使用要求。,False,False
88,0,,岗位为费控工程师，涉及工程造价、成本分析，无AI或数字技术内容。,1,"参与项目投标工作,主管报价编制工作,并提出成本控制方案和对比分析报告和项目全过程费用控制",岗位核心是工程造价与费用控制，使用招投标软件、成本分析工具等属于辅助数字工具，移除后核心职责仍成立，故为1分；未涉及软件开发或AI研发，因此不是2或3分。,True,False
89,0,,岗位为销售主管，负责市场开发、客户维护，无AI或数字技术内容。,0,,岗位为销售主管，职责为市场开发、客户维护、销售推广，未明示要求任何数字工具或技术技能，故为0分；不是1分，因无Office等工具使用要求。,False,False
90,1,负责京东自营平台售前咨询及接待工作|负责通过咚咚、微信或电话等工具帮客户解决售后问题|负责销售订单的系统录入及对账,使用电商平台和通讯工具进行客服工作，数字工具为辅助。,1,负责销售订单的系统录入及对账,岗位核心是客服与销售支持，系统录入为辅助性数字工具使用，移除后客服职责仍成立，故为1分；未涉及系统开发或AI，因此不是2或3分。,False,False
91,2,负责厂区网络的正常运行|负责办公设备、设施的日常维护及故障处理|负责监控系统、广播系统及ERP系统的后台保障|负责网站、邮箱及公众号等各类平台的维护及更新|定期对相关数据进行备份,网络管理、ERP系统维护、数据备份等是岗位核心职责。,2,负责厂区网络的正常运行|负责办公设备、设施的日常维护及故障处理|负责监控系统、广播系统及ERP系统的后台保障|负责网站、邮箱及公众号等各类平台的维护及更新|定期对相关数据进行备份,岗位核心是网络、系统及IT基础设施的运维保障，属于核心数字技术，故为2分；未涉及AI/ML研发，因此不是3分；不是1分，因运维是核心职责而非辅助工具使用。,False,False
92,0,,岗位为信用卡客户经理，负责产品推广和客户服务，无AI或数字技术内容。,0,,岗位为信用卡客户经理，职责为产品推广与客户服务，未明示要求任何数字工具或技术技能，故为0分；不是1分，因无Office等工具使用要求。,False,False
93,1,销售,要求掌握办公软件，但仅为辅助销售工作。,1,"熟练掌握基本的办公软件操作,如Office等",岗位核心是销售工作，Office等办公软件为辅助工具，移除后销售职责仍成立，故为1分；未涉及软件开发或AI，因此不是2或3分。,False,False
94,0,,岗位为业务类管培生，涉及渠道开发和管理，无AI或数字技术内容。,0,,岗位职责为渠道开发、管理、支持等业务类工作，未明示要求使用任何数字工具、信息系统或技术。因此为0分，不是1分（辅助工具）或2分（核心数字技术）。,False,False
95,0,,岗位为质量总监，负责质量管理、审核、改善，无AI或数字技术内容。,0,,岗位职责为质量文化活动、品质审核、改善小组等质量管理相关工作，未提及任何数字工具或技术。因此为0分，不是1分或2分。,False,False
96,0,,岗位为电话销售专员，通过电话营销金融产品，无AI或数字技术内容。,0,,岗位职责为电话营销办理金融产品，属于销售类工作，未明示要求使用数字工具或技术。因此为0分，不是1分或2分。,False,False
97,0,,岗位为模具计划主管，负责加工计划编排和产能协调，无AI或数字技术内容。,0,,岗位职责为模具零件加工计划编排、设备资源协调等，未提及任何数字工具或技术。因此为0分，不是1分或2分。,False,False
98,0,,岗位为FAE现场应用工程师，推广电源管理芯片，提供技术支持，无AI或数字技术内容。,1,推广电源管理芯片|为客户提供及时的技术支持,岗位涉及推广电源管理芯片并提供技术支持，但核心职责是应用工程师进行技术推广和支持，技术是辅助销售的手段。移除技术后，岗位主要产出（技术推广和支持）仍成立，因此技术是辅助工具，属于1分。不是2分，因为技术不是核心产出（如软件开发或系统设计）。,True,False
99,2,针对Hillstone的安全产品提供售前技术支持服务|深入了解TCP/IP、路由协议、2/3层交换以及IPSec,网络安全产品售前技术支持，涉及网络协议和安全技术，是岗位核心。,1,针对Hillstone的安全产品提供售前技术支持服务|为销售团队提供技术讲解和技术文档|以技术顾问的身份为客户提供技术支持和建议|为Hillstone的合作伙伴提供产品的技术培训,岗位核心是售前技术支持，技术知识用于辅助销售和培训，非数字技术开发或产出；移除技术后讲解、培训职责仍成立，故为1分；不是2分因为未涉及系统开发或核心数字技术产出，不是0分因为明确要求网络安全技术知识。,True,True
