canonical_id,selection_reason,rule_score,primary_score,primary_evidence,primary_reason,primary_confidence,audit_score,audit_evidence,audit_confidence,audit_reason,adjudicated_score,adjudication_reason
73,stratified_fill,2,2,信息安全管理制度体系建设|信息安全合规性安全检查|数据安全防护体系的规划与建设,岗位核心职责是信息安全体系建设和合规检查，属于信息系统安全领域，数字技术是主要产出。未涉及AI/ML研发，故strict_ai为false，score为2。,high,2,负责参与集团信息安全管理制度体系建设|负责集团信息安全合规性安全检查|参与数据安全防护体系的规划与建设,high,岗位核心职责为信息安全体系建设、合规检查与数据安全平台建设，属于明确的核心数字安全技术工作，移除后岗位无法成立。,,
75,rule_model_threshold_conflict,2,1,应用solidworks软件做自动化设备机构设计与制造,岗位主要产出是机械设计，使用SolidWorks作为辅助工具，移除后机械设计主业仍成立。未涉及软件开发、数字控制系统编程等核心数字技术，故为auxiliary。,medium,1,应用solidworks软件做自动化设备机构设计与制造,medium,使用CAD软件辅助机械设计，移除后机械设计主业仍成立，故为auxiliary；明确出现软件工具故非0，但非系统开发等核心交付。,,
80,stratified_fill,0,0,,销售管理岗位，职责为销售计划、团队管理、渠道拓展和客户拜访，未明示软件、数据、系统或数字硬件等技术对象。,high,1,确保各项销售数据、信息的准确性,medium,岗位主要产出为销售管理，数据准确性要求属于辅助性数据运营，未涉及系统开发等核心数字技术；有明确数据要求故非0。,1.0,岗位主要产出为销售管理，要求确保销售数据准确性，属于辅助性数据运营，移除后销售主业仍成立。未提及AI。
91,rule_model_threshold_conflict,1,2,"负责厂区网络的正常运行,解决日常工作中发生的问题|负责办公设备、设施的日常维护及故障处理|负责监控系统、广播系统及ERP系统的后台保障|负责网站、邮箱及公众号等各类平台的维护及更新|定期对相关数据进行备份",岗位为网络管理员，核心职责是网络、系统、设备运维及数据备份，属于数字技术运维，移除后岗位无法成立。无AI/ML职责，因此为core且strict_ai=false，score为2。,high,2,负责厂区网络的正常运行|负责监控系统、广播系统及ERP系统的后台保障,high,岗位核心是网络及系统运维，属于核心数字技术工作，移除后网络与系统无人维护，故为core。,,
96,stratified_fill,0,0,,电话销售岗位，职责为电话营销金融产品，未明示数字技术对象。,high,0,,high,纯电话销售岗位，未明示任何数字工具或技术要求。,,
99,stratified_fill,2,2,"针对Hillstone的安全产品提供售前技术支持服务|深入了解TCP/IP、路由协议、2/3层交换以及IPSec|深入了解网络安全,包括防火墙、VPN、防病毒、IDS/IPS等",售前工程师以网络安全产品技术方案、配置、咨询为核心产出，涉及网络协议、安全技术，属核心数字技术；非一般销售辅助。,high,1,为销售团队提供技术讲解和技术文档|以技术顾问的身份为客户提供技术支持和建议,medium,岗位主要提供售前技术讲解、文档和建议，未明确承担方案设计、配置或诊断等核心技术交付，属于辅助销售活动；有网络安全技术内容故非0。,1.0,岗位主要产出是销售支持，提供讲解、文档和建议，未明示承担技术方案设计、配置、诊断等核心交付，数字技术属辅助。
108,stratified_fill,0,1,熟悉电脑操作,岗位为客户经理（车商），职责为车商业务维护、数据跟踪、续保等，任职资格要求熟悉电脑操作，属于辅助工具使用。数据跟踪仅为业务数据统计，非核心数据技术。,medium,1,"车商信息收集统计,承保、续保数据跟踪|熟悉电脑操作",high,原文明确要求数据跟踪和电脑操作，属于使用数字工具辅助保险销售主业，移除后销售职责仍成立，故为辅助；未出现AI相关词汇。相邻边界0_vs_1：存在明确数字对象，不属于无明示。,,
117,stratified_fill,2,2,"编写测试用例,测试并引导研发完善|负责产品在各系统平台下功能兼容性测试,问题跟踪和回归测试|负责软件产品的打包、更新等产品盘管理和维护工作",软件测试岗位，核心职责为软件测试、打包和维护，数字技术是主要产出，移除后岗位无法成立，无AI要求。,high,2,"编写测试用例,测试并引导研发完善|负责产品在各系统平台下功能兼容性测试,问题跟踪和回归测试|负责软件产品的打包、更新等产品盘管理和维护工作",high,岗位主要产出是软件产品的测试、打包和维护，明确承担系统兼容性测试、测试用例编写等技术交付，移除后岗位不成立，故为核心数字技术。未涉及AI/ML研发，非3；职责非辅助使用，非1。,,
124,rule_model_threshold_conflict,2,1,能熟练运用机械制图等开发软件及办公软件,岗位主要产出是锂电设备维护与机械改造，使用CAD等软件仅为辅助工具；未承担软件开发或数字系统核心交付，故为辅助。,medium,0,,high,岗位描述未明示数字工具、软件、数据、信息系统、网络、编程或数字硬件要求；主要职责为锂电生产设备维护、维修、保养及机械结构优化，机械制图软件仅作为辅助工具，不构成数字技术核心交付。,1.0,岗位主要产出为设备维护与机械改造，机械制图软件仅辅助主业，移除后不影响主要产出。
137,stratified_fill,2,2,"负责 ISP 相关算法的研究和落地,包括3A、HDR、插帧、去雾等|负责图像、视频 ISP 相关领域的算法预研、设计、优化、验证、调优支持等工作",岗位核心职责为ISP算法研发，属于传统图像处理算法，非AI/ML，故为core且strict_ai=false。无AI研发职责。,high,2,"负责 ISP 相关算法的研究和落地,包括3A、HDR、插帧、去雾等|负责图像、视频 ISP 相关领域的算法预研、设计、优化、验证、调优支持等工作",high,岗位明确承担传统ISP算法研发与优化，为数字技术核心产出；未出现AI/ML语义，故不是严格AI(3)；算法研发非辅助使用(1)。,,
138,stratified_fill,0,0,,岗位职责为推广活动培训、效果分析、规划执行，未明示任何数字工具、系统或数据要求，故为无明示数字技术。,high,1,分析活动执行效果和数据,medium,岗位主要产出为推广活动策划执行，数据分析仅用于活动效果评估，属于常规数据汇总，无系统开发或建模要求，为辅助数字技术。未提及AI。,1.0,岗位主要产出为推广活动执行，数据分析仅用于活动效果评估，属辅助数字技术，移除后主业仍成立。
139,strict_score3,2,3,负责新产品/新需求项目的算法设计/算法开发|对机器视觉领域前沿技术感兴趣|模式识别或图像处理相关研究方向|能独立设计视觉相关算法、开发算法及调试优化,岗位核心职责是视觉算法设计开发，明确涉及机器视觉和模式识别，属于严格AI技术工作。移除算法开发后岗位无法成立，故为core且strict_ai=true，得3分。与2分的边界在于明确承担AI/机器视觉算法研发，而非仅使用传统图像处理工具。,high,3,模式识别或图像处理相关研究方向|机器视觉领域前沿技术|能独立设计视觉相关算法|机器视觉|模式识别,high,岗位核心是设计开发视觉相关算法，明确涉及机器视觉和模式识别，属于严格AI应用；移除算法开发后岗位不能成立，故为core且strict_ai=true。,,
141,rule_model_threshold_conflict,1,2,负责实施公司信息化建设方案|保证公司网络系统的安全性|把控公司各信息化项目的实施进度及标准|熟练掌握制造业信息化改革过程中所有信息管理系统的相关操作、管理、维护知识,岗位主要产出是信息化建设、系统管理和网络安全，明确涉及信息系统和网络等数字技术对象。移除这些数字技术后岗位无法成立，故为core。未涉及AI/ML，strict_ai=false，得2分。与1分的边界在于承担系统搭建、运维等核心职责，而非仅使用或协调。,high,2,负责实施公司信息化建设方案|保证公司网络系统的安全性|把控公司各信息化项目的实施进度及标准|统筹搭建公司信息化系统,high,岗位核心职责是实施信息化建设、管理信息系统与网络安全、推进信息化项目，移除数字技术后岗位不成立，故为核心。未涉及AI研发，非3分；非辅助性使用，因岗位主业即信息化管理，故非1分。,,
153,stratified_fill,0,0,,职责为车险线上查勘、定损、理赔咨询，未明示软件、数据、系统等数字技术对象。,high,1,线上查勘|线上提供解答|在线与客户协商确定理赔方案,high,岗位主要产出为保险理赔，数字技术仅作为线上沟通和系统操作的辅助工具，移除后理赔职责仍可成立，且无AI内容，故为辅助数字技术。,1.0,理赔主业通过线上系统完成，数字技术仅作为辅助工具，移除后理赔职责仍可成立。
154,stratified_fill,0,0,,销售经理职责为客户开发、订单跟踪、回款，仅要求半导体行业销售经验，未明示数字技术交付。,high,0,,high,原文仅描述销售客户开发、订单跟踪、对账回款等职责，未明示任何数字工具、信息系统、软件、数据或AI要求。,,
159,rule_model_threshold_conflict,2,1,负责生产过程中的自动化系统的管理操作,岗位操作自动化系统，但仅负责管理和参数记录，未涉及编程、诊断或开发，自动化系统作为生产辅助工具，移除后生产主业仍成立，故为auxiliary而非core。,medium,1,自动化系统的管理操作,medium,岗位涉及DCS等自动化系统的管理操作和参数记录，但仅限于操作现成数字系统辅助化工生产，未涉及编程、配置、诊断或开发等核心数字技术交付。移除该操作后，岗位的生产控制主业仍可通过人工等方式完成，故数字技术为辅助。无AI相关工作。因此不是2分。,,
161,rule_model_threshold_conflict,2,1,熟练使用OFFICE软件,采购助理岗位使用OFFICE软件进行报表和分析，但主要产出为采购业务，数字工具仅辅助，故为auxiliary。,medium,1,熟练使用OFFICE软件|采购报表、采购分析,medium,原文明确要求熟练使用OFFICE软件，并涉及采购报表与分析等数字工具应用，但数字技术仅辅助采购主业，移除后岗位主要产出仍为采购工作，故为辅助。非无数字技术，亦非核心数字技术产出。,,
162,stratified_fill,0,1,根据财务需求制作财务报表|完成办公室部分数据整理,财务专员岗位使用财务软件或Excel制作报表和整理数据，但主要产出为财务审核与管理，数字技术仅辅助，故为auxiliary。,high,1,制作财务报表|完成办公室部分数据整理,high,岗位主要产出为财务费用审核、制度制定与财务报表，数据整理和财务报表制作是辅助财务主业的常规数字工具使用，不构成核心数字技术交付。无AI要求。,,
165,rule_model_threshold_conflict,2,0,,采购岗位，职责为供应商开发、供应链管理、业务沟通，未明示数字工具或系统要求。,high,0,,high,岗位职责为供应商开发、管理与采购沟通，要求机械制造背景，未明示任何软件、数据、信息系统或数字技术对象。,,
170,rule_model_threshold_conflict,2,0,,驻场代表，职责为电场运维外包监督、验收、报告，未明示数字技术对象，仅涉及电力运行管理。,high,0,,high,原文未明示任何软件、信息系统、数据技术或数字控制等数字技术对象，岗位职责围绕变电站运行管理、监督和报告，仅涉及电气工程等传统电力技术工作，无数字技术交付。,,
173,stratified_fill,2,2,"设备的智能化设计工作,涉及数采与控制闭环|配置最优化的控制方案以及做出最优性价比的仪表&控制系统的选型|形成完善的联锁逻辑,并付诸组态|熟悉DCS的组态部署与PID整定等",岗位核心职责包括智能化设计、数采与控制闭环、控制方案配置、联锁逻辑组态、DCS组态部署等，明确涉及数字控制系统和软件组态，属于核心数字技术。移除这些数字技术后，岗位主要产出（智能化装备设计）无法成立。未出现AI/ML，故为2分。,high,2,"智能化设计工作,涉及数采与控制闭环|配置最优化的控制方案|仪表&控制系统的选型|形成完善的联锁逻辑,并付诸组态|DCS的组态部署",high,原文明确要求数采、控制闭环、仪表控制系统选型、联锁逻辑组态、DCS部署等数字控制技术，这些构成岗位的核心交付；移除后岗位主要产出不成立。未出现AI/ML相关职责，不满足3分。数字技术是设计对象而非辅助工具，因此为core而非auxiliary。,,
180,rule_model_threshold_conflict,2,1,"熟练掌握一门制图软件,如Creo、Solidsworks或其他",岗位主要产出是机械设计（自动化生产线改造、非标设备、机械臂），制图软件仅作为辅助工具，移除后机械设计主业仍成立，故为auxiliary。未达core因无软件开发、数字系统运维等核心数字技术交付。,medium,1,"熟练掌握一门制图软件,如Creo、Solidsworks或其他",medium,岗位明确要求使用Creo、Solidsworks等制图软件，数字技术对象明确。移除该软件使用后，机械设计主业仍成立，故为辅助数字技术。未涉及系统开发或AI，非核心。未缺失数字技术明示，非0分。,,
181,rule_model_threshold_conflict,0,2,负责金融计算引擎开发与维护|负责债券交易策略的研发,岗位主要产出是金融计算引擎开发和交易策略研发，属于核心数字技术（软件开发、量化模型）。未达3分因无AI/ML明确职责，仅为传统金融工程计算。,high,2,金融计算引擎开发与维护|有编程基础,high,职责明确要求金融计算引擎开发和债券交易策略研发，属于核心数字技术交付；未出现AI/ML，仅是传统金融量化开发，因此不是3分。,,
184,rule_model_threshold_conflict,3,1,负责本公司智能仓储物流系统销售工作|熟悉物流的智能化、自动化等技术应用方向,岗位主要产出是销售智能仓储物流系统，数字技术知识用于销售和方案陈述，但未明确承担技术方案设计、配置等核心交付，故为auxiliary。未达core因无系统开发、运维等职责。,high,1,负责本公司智能仓储物流系统销售工作|售前方案的准备,medium,岗位主要产出是销售，数字技术仅作为辅助支持；售前方案准备仍属销售活动，未承担配置、诊断或部署等核心技术工作，因此不能给2分。,,
185,stratified_fill,0,1,为公司决策提供数据支持,岗位主要产出是模切生产管理，数据支持仅为辅助性报表工作，移除后生产管理主业仍成立，故为auxiliary。未达core因无数据平台、系统开发等核心交付。,medium,0,,medium,职责为模切生产管理，仅提到‘提供数据支持’但未明示任何数字工具或系统，无法满足数字对象证据门槛，因此不能给辅助分。,1.0,岗位主要产出为生产管理，提供数据支持属辅助性数据工作，移除后主业仍成立。
186,stratified_fill,2,2,负责数据仓库、ETL开发|负责实时处理系统的设计和开发工作|承担大数据基础架构平台的建设,岗位主要产出是大数据平台建设、数据仓库和实时系统开发，属于核心数字技术。未达3分因无AI/ML明确职责，仅为大数据工程。,high,2,负责数据仓库、ETL开发|实时处理系统的设计和开发|大数据基础架构平台的建设,high,岗位核心职责为大数据平台和ETL开发，属于明确的核心数字技术；未涉及AI/ML研发，故不为3分。,,
190,stratified_fill,0,0,,岗位职责为客户拓展和营销，未明示任何数字技术对象；仅提及在线笔试，但那是招聘流程，非岗位职责。,high,0,,high,纯市场营销岗，职责为客户拓展，全篇未出现任何数字工具、系统或技术对象，不符合辅助数字技术条件。,,
194,rule_model_threshold_conflict,0,2,负责IT基础建设、计算机软硬件维护管理、IT网络维护|负责应用网络设备、应用服务器等例行检查和维护|及时排除计算机硬件及网络出现的故障,岗位核心产出是IT基础设施和网络运维，移除数字技术后岗位无法成立，故为2。未涉及AI，故非3。,high,2,负责IT基础建设、计算机软硬件维护管理、IT网络维护|及时排除计算机硬件及网络出现的故障,high,岗位核心是网络与IT基础设施运维，移除后主要产出不成立，属于核心数字技术；无AI/ML内容。,,
197,rule_model_threshold_conflict,2,1,具有电气、电子产品维修及塑料机械、伺服控制等相关技术知识,岗位主要产出是电气、电子产品维修，数字技术仅作为辅助工具（伺服控制知识）。移除数字技术后，维修主业仍成立，故为辅助。未达到核心数字技术，因未涉及软件开发、系统运维等。,medium,0,,low,仅有任职资格而无岗位职责，资格中未明示编程、数字硬件等数字技术对象；不能依据岗位名称推定，故无分。,0.0,仅有任职资格，未描述岗位职责，无法确定数字技术的使用性质，不能凭岗位名称推断。
204,stratified_fill,0,1,"熟练使用剪辑软件|会PS、PR、AE,3Dmax、C4D等软件",岗位主要产出是视频拍摄和剪辑，剪辑软件和建模软件仅作为创作工具。移除数字工具后，视频创作主业仍成立，故为辅助。未达到核心，因未涉及软件开发或系统运维。,high,1,"熟练使用剪辑软件|会PS、PR、AE,3Dmax、C4D等软件",high,岗位主业为视频内容创作，数字软件仅作为制作工具，移除后视频产出仍成立，属于辅助数字技术。,,
209,rule_model_threshold_conflict,1,2,负责法人结算相关系统需求分析、测试及维护等工作|掌握SQL SERVER或ORACLE数据库平台的开发和应用专业知识,岗位职责包括法人结算系统的需求分析、测试及维护，明确承担系统技术工作。任职资格要求数据库开发和应用专业知识，支持技术交付。移除系统测试维护后，岗位主要产出不完整。未涉及AI，因此technology_role为core，score为2。,high,1,负责法人结算相关系统需求分析、测试及维护等工作|掌握SQL SERVER或ORACLE数据库平台的开发和应用专业知识,medium,数字技术对象明确（结算系统、数据库）。岗位主业为结算清算业务，系统需求分析、测试和维护仅辅助业务开展，移除后主要产出仍成立，不属于核心数字技术交付。,1.0,明确数字对象（结算系统、数据库），但岗位主业为结算清算，系统需求分析、测试及维护仅辅助业务，移除后主要产出仍成立，未达到核心交付；任职资格要求数据库知识但职责无开发动作，故为auxiliary。
216,stratified_fill,0,0,,行政专员职责包括制度推行、文件编写、资质申报、知识产权管理、招聘等，未明示任何软件、数据、信息系统或数字硬件要求。英语和护理专业不构成数字技术。,high,0,,high,原文未明示任何软件、信息系统、数据、编程或数字硬件等技术对象，仅行政事务职责。,,
218,stratified_fill,1,1,"及时准确更新ERP系统仓库数据|每日提供准确的物资库存量数据、库存日报表、发货明细表等定期盘库,向财务部等相关部门提交库存盘点数据",岗位主要产出是仓储管理，使用ERP系统更新数据和提供报表仅作为辅助工具。移除ERP后仓储管理主业仍成立，故为auxiliary而非core。,high,1,及时准确更新ERP系统仓库数据,medium,明确使用ERP系统，但岗位主业为仓储管理，更新数据仅辅助仓储操作，属于工具性使用，非核心数字技术产出。,,
220,rule_model_threshold_conflict,1,2,负责系统日常运维问题处理|协助主管处理日常终端店铺的DRP相关问题咨询|协助主管处理日常电商零售的OMS相关问题咨询|协助主管处理日常桌面运维和服务器网络运维|协助主管处理终端店铺的监控故障报修,岗位核心职责是系统运维，包括DRP、OMS、桌面、服务器和网络运维，移除这些数字技术后岗位无法成立，故为core。虽用“协助”措辞，但运维支持本身是核心产出。无AI内容。,high,2,负责系统日常运维问题处理|协助主管处理日常桌面运维和服务器网络运维,high,职责以系统、桌面和网络运维为核心产出，根据规则，运维支持本身即核心数字技术工作，即使措辞为“协助”也不能降级。,,
226,rule_model_threshold_conflict,0,2,计算机硬件和网络维护能力|熟悉路由器、交换机和防火墙等网络设备的工作原理|负责公司电脑硬件设备(服务器、计算机、打印机、网络设备)的安装与维护,岗位主要产出是计算机硬件和网络设备的安装、维护，属于系统运维支持，明确为数字技术核心。移除这些技术后岗位无法成立，故为core。未涉及AI，故为2分。,high,2,负责公司电脑硬件设备(服务器、计算机、打印机、网络设备)的安装与维护,medium,岗位职责明确为计算机硬件和网络设备的安装维护，属于系统运维和信息化建设核心交付。,,
228,stratified_fill,1,1,熟练使用办公软件、制图软件,岗位为产品结构工程师，主业是机械/家电产品开发，使用办公软件和制图软件作为辅助工具。移除数字工具后产品开发主业仍成立，故为auxiliary。未达core因工具仅辅助设计，非主要产出。,medium,1,熟练使用办公软件、制图软件,medium,制图软件等数字工具仅用于机械结构设计主业，属于辅助工具，移除后设计工作仍可成立。,,
235,stratified_fill,0,0,,岗位为生物专业应届生，涉及细胞培养、蛋白纯化等生物技术，未明示任何数字技术对象如软件、数据或系统。专业要求为生物相关，无数字工具要求。,high,0,,high,原文仅涉及细胞培养、蛋白纯化等生物实验技术，未出现任何数字工具、系统或数据对象。,,
238,rule_model_threshold_conflict,2,1,物联网监控技术|自然灾害监测预警技术,岗位为风控工程师，提及物联网监控和监测预警技术，属于数字技术对象，但仅作为风控服务工具，移除后风险评估主业仍成立。未承担技术开发或系统运维，故为辅助。,high,1,物联网监控技术、自然灾害监测预警技术等,medium,岗位主业为风险查勘与评估服务，物联网等技术仅作为发掘和推动对象，未承担具体技术开发或运维，属于辅助提及。,,
242,rule_model_threshold_conflict,2,1,熟悉AutoCAD绘制零件图|精通气动、液压及传感器原理,岗位为自动机装配钳工，职责是机械装配调试，使用AutoCAD和传感器知识辅助主业，但未承担PLC编程、数字控制系统开发等核心数字技术工作，故为辅助。,medium,1,熟悉AutoCAD绘制零件图,medium,岗位主业为自动机装配钳工，AutoCAD仅作为辅助绘图工具，移除后装配工作仍可进行，故为辅助数字技术，不是无数字技术。,,
249,stratified_fill,1,1,熟练使用PPT、Word、Excel等办公软件,岗位主要产出是质量管理，数字技术仅体现为办公软件使用，属于辅助工具。移除后质量管理职责仍成立，故为auxiliary而非core。无AI相关职责。,medium,1,熟练使用PPT、Word、Excel等办公软件,medium,质量管理为主业，办公软件仅用于文档和数据处理，不是岗位核心产出，且存在明确数字工具，故为辅助。,,
250,stratified_fill,0,0,,岗位描述仅涉及产品研发、改进、工艺应用和技术支持，未明示任何软件、数据、信息系统、编程或数字硬件等数字技术对象。不能因“技术”泛词推断加分。,high,0,,high,全文未明示任何数字工具、系统、软件或AI要求，产品研发职责未提及数字技术对象。,,
252,rule_model_threshold_conflict,2,1,懂得气动原理和变频器的调试,岗位主要产出是设备安装调试，变频器调试属于自动化设备调试中的数字技术应用，但移除后安装调试主业仍成立，故为auxiliary。无AI。,medium,1,变频器的调试,medium,高级电工主业为设备安装调试，变频器调试是辅助技能，移除后电气安装工作仍成立，且存在明确数字控制对象。,,
254,stratified_fill,2,2,参与软件需求分析、系统设计、核心代码编写|熟练掌握 React、Vue 等主流技术栈|熟练掌握 nodejs、webpack 等常用开发工具,岗位核心职责是前端软件开发，涉及代码编写、框架整合和性能优化，数字技术是主要产出。无AI/ML职责，故为core而非strict AI。,high,2,参与软件需求分析、系统设计、核心代码编写|熟练掌握 React、Vue 等主流技术栈,high,软件开发是岗位核心产出，无AI要求，故为核心数字技术而非辅助工具或严格AI。,,
260,stratified_fill,2,2,协助销售人员及客服人员与IDC客户进行网络技术方面的交流、技术方案设计和编写|IDC客户对网络故障问题的沟通与协调|IDC客户的网络技术支持|对BGP、OSPF等路由协议及应用有深入理解|熟悉主流网络设备厂商:CISCO、华为、Juniper等在IP网络内的应用,岗位主要产出是网络技术支持、方案设计和故障协调，明确涉及网络协议和设备，数字技术是核心交付，移除后岗位无法成立，故为core而非auxiliary（非辅助性使用）。无AI相关职责，strict_ai为false。,high,2,IDC客户进行网络技术方面的交流、技术方案设计和编写|IDC客户的网络技术支持|网络运维或技术支持的工作经验,high,网络运维、方案设计和技术支持构成岗位主要交付，非一般辅助使用，无AI职责，故为核心数字技术。,,
262,rule_model_threshold_conflict,2,1,熟练使用Office办公软件和CAD/Solidworks等制图软件,岗位主要产出是工业工程改善，数字技术仅体现为使用Office和CAD/Solidworks作为工具，属于辅助，移除后IE主业仍成立，故为auxiliary而非core（非系统开发或运维）。,medium,1,熟练使用Office办公软件和CAD/Solidworks等制图软件,medium,IE工程师主要产出为生产流程改善，CAD和办公软件仅为辅助工具，移除后IE工作仍可完成，故为辅助。,,
267,stratified_fill,0,1,熟练表格函数应用,任职资格要求熟练表格函数，但岗位职责为财务报表编制、分析等财务主业，表格函数仅作为辅助工具，移除后财务工作仍成立，故为auxiliary而非none；未涉及AI。,medium,1,熟练表格函数应用,medium,合并报表会计主业为财务报告，Excel函数是数据整理工具，非核心数据产品开发，故为辅助。,,
268,stratified_fill,0,0,,岗位为人事管理，职责包括制度落实、检查监督等，未明示任何数字工具、系统或软件要求，故为none。,high,0,,high,岗位描述为人事管理，未明示任何软件、数据、信息系统或数字技术对象。移除数字技术后岗位产出不变，因此为none。,,
270,stratified_fill,2,2,深入理解基于SpringBoot/Cloud的微服务架构或主流ERP(如SAP、金蝶)系统的实施与开发逻辑|主导或深度参与项目技术方案设计、评审|对核心业务模块的需求分析、架构设计及线上问题解决提供关键指导与支持,岗位核心职责包括技术方案设计、架构评审和线上问题解决，明确涉及软件系统开发与实施，移除数字技术后岗位无法成立，故为core；未涉及AI，故为2分。,high,2,"深入理解基于SpringBoot/Cloud的微服务架构或主流ERP(如SAP、金蝶)系统的实施与开发逻辑。能够主导或深度参与项目技术方案设计、评审,并对核心业务模块的需求分析、架构设计及线上问题解决提供关键指导与支持",medium,职责明确要求深入理解微服务架构/ERP系统，主导技术方案设计、架构评审及线上问题解决，属于核心数字技术交付。移除后项目经理将失去技术把控关键产出，故为core（2分）。未涉及AI。,,
271,rule_model_threshold_conflict,0,2,器件物理模型研究|器件仿真研究,岗位职责明确包括器件物理模型研究和仿真研究，属于核心计算交付，移除后岗位主要产出不成立，故为core；未涉及AI/ML，故为2分。,high,2,器件物理模型研究|器件仿真研究,high,岗位职责明确包含器件物理模型研究、仿真研究，属于核心计算/仿真交付。移除后岗位主要产出不成立，故为core（2分）。未涉及AI。,,
