canonical_id,from_score,from_evidence,from_reason,to_score,to_evidence,to_reason,score_changed,crossed_main_threshold
11,1,熟练使用CAD及常用办公软件,岗位是现场代表，核心职责是工程现场管理，CAD和办公软件是辅助工具。移除这些工具后，现场管理职责仍成立，因此为1分。不是0分，因为明确要求使用CAD和办公软件；不是2分，因为不涉及软件开发或核心数字技术。,0,,原文仅任职资格要求“熟练使用CAD及常用办公软件”，未描述岗位职责，无法确定数字技术的使用性质，故为无明示数字技术。,True,False
12,1,基础数据分析能力,岗位是营销支持专员，核心是运营服务、费用结算、协议管理等，基础数据分析是辅助技能。移除数据分析后，营销支持的核心职责仍成立，因此为1分。不是0分，因为明确要求数据分析能力；不是2分，因为数据分析不是核心产出，而是辅助运营。,1,系统测试|基础数据分析能力,岗位主要产出是渠道运营服务、成本结算、咨诉处理等营销支持工作。系统测试和数据分析是辅助工具，移除后营销支持职责仍成立，故为auxiliary。无AI相关职责。,False,False
13,0,,岗位是融资会计，描述中仅涉及财务基础知识、银行信贷业务和资金调配，未明示要求任何数字工具、信息系统或数据分析。因此为0分。不是1分，因为没有提及Office、ERP或任何数字工具的使用。,0,,岗位职责为银行融资转贷和资金调配，任职资格要求财务基础知识和银行信贷业务熟悉，未明示任何数字技术对象，故为none。,False,False
14,1,熟练使用各类办公软件,岗位是行政内勤，核心是行政管理、接待、文件起草和会务，办公软件是辅助工具。移除办公软件后，行政内勤的核心职责仍成立，因此为1分。不是0分，因为明确要求使用办公软件；不是2分，因为不涉及软件开发或核心数字技术。,1,熟练使用各类办公软件,岗位主要产出是行政管理和接待工作。办公软件是辅助工具，移除后行政内勤职责仍成立，故为auxiliary。无AI相关职责。,False,False
15,0,,岗位是保单售后整理，描述仅涉及客户支持和解决方案提供，未明示要求任何数字工具或技术。因此为0分。不是1分，因为没有提及Office、系统或数据分析等任何数字工具。,0,,岗位职责为客户提供产品支持和解决方案，未明示任何数字技术对象，故为none。,False,False
16,0,,岗位是客服理赔部现场作业岗，职责是理赔指引、咨询、流程执行和现场调查，未明示要求任何数字工具或技术。因此为0分。不是1分，因为没有提及Office、系统或数据分析等任何数字工具。,0,,岗位职责为农险理赔指引、咨询、资料收集和现场调查，未明示任何数字技术对象，故为none。,False,False
17,0,,岗位职责为质量检验、记录整理、信息传递等，未明示要求使用数字工具、信息系统或编程。因此为0分，不是1分（无任何数字工具要求）。,0,,职责为质量检验、记录整理、信息传递、供应商评价等，未明示任何软件、数据、信息系统、编程或数字硬件等数字技术对象。,False,False
18,0,,岗位职责为招聘执行、渠道管理、校园招聘等，未明示要求使用数字工具或系统。因此为0分，不是1分（无数字工具要求）。,0,,招聘职责为渠道管理、沟通、校招、人才储备，未明示数字工具、系统或数据要求。,False,False
20,0,,岗位职责为渠道销售、市场信息收集等，未明示要求使用数字工具或系统。因此为0分，不是1分（无数字工具要求）。,0,,销售岗位职责为渠道开发、培训、政策传达、信息收集，未明示数字技术对象。,False,False
21,0,,岗位职责为半导体晶圆生产操作，未明示要求使用数字工具、编程或数据分析。因此为0分，不是1分（无数字工具要求）。,0,,半导体晶圆生产涉及光刻、薄膜、刻蚀等工艺，未明示软件、数据、编程或数字硬件等数字技术对象。,False,False
22,1,熟练使用财务软件,岗位核心是财务会计，使用财务软件是辅助工具，非核心产出。因此为1分，不是0分（明确要求使用财务软件），也不是2分（非软件开发或核心数字技术）。,1,熟练使用财务软件,岗位职责为财务核算、报表编制、报销审核等，财务软件仅作为工具辅助主业，移除后财务工作仍成立，故为辅助。,False,False
23,2,控制算法设计|算法实现|C/C++/Python编程|运动控制系统及控制算法设计,岗位核心是控制算法设计与实现，属于非AI专业算法，是核心数字技术。因此为2分，不是1分（算法是核心产出而非辅助工具），也不是3分（未涉及AI/ML）。,2,控制算法设计、算法实现及设备调试|C/C++/Python编程与算法实现|控制系统仿真分析,核心职责为控制算法设计、实现、仿真与测试，属于传统算法研发，移除后岗位无法成立；未出现AI/ML语义，故为2分。,False,False
24,0,,岗位职责为功能食品销售，未明示要求使用数字工具或系统。因此为0分，不是1分（无数字工具要求）。,0,,销售岗位职责为渠道开发、客户维护、订单跟踪、市场信息收集，未明示数字技术对象。,False,False
25,1,熟练运用电脑办公软件,岗位核心是工艺工程，使用办公软件是辅助工具，非核心产出。因此为1分，不是0分（明确要求使用办公软件），也不是2分（非软件开发或核心数字技术）。,1,熟练运用电脑办公软件,岗位职责为生产流程制定、SOP维护、不良品分析、良率提升等，电脑办公软件仅作为辅助工具，移除后工艺工程师主业仍成立。,False,False
26,1,"熟悉电脑操作,MicrosoftOffice办公软件和ERP软件",岗位核心是订单审核、工艺卡制作等审单工作，电脑和ERP只是辅助工具，移除后审单仍可进行，因此为1分；未涉及软件开发或AI研发，故不是2或3分。,1,"熟悉电脑操作,MicrosoftOffice办公软件和ERP软件",岗位职责为订单审核、工艺卡制作等，数字技术仅体现为要求熟悉Office和ERP软件，用于辅助完成非数字主业，移除后岗位主要产出仍成立，故为auxiliary。无AI相关职责。,False,False
27,0,,岗位职责为安全管理、消防、应急等，未明示要求任何数字工具、编程或AI技术，因此为0分；不是1分，因为无任何数字工具使用要求。,0,,岗位为安全员，职责涉及安全管理、消防、应急等，未明示任何软件、数据、信息系统等数字技术对象，故为none。,False,False
29,0,,仅提及制造业相关岗位经验，未明示任何数字工具或技术，因此为0分；不是1分，因为无任何数字工具使用要求。,0,,仅提及制造业相关岗位经验，未明示任何数字技术对象，故为none。,False,False
30,1,熟练使用CAD、天正等软件,岗位核心是室内设计，CAD等软件是辅助设计工具，移除后设计工作仍可进行，因此为1分；未涉及软件开发或AI，故不是2或3分。,1,熟练使用CAD、天正等软件,岗位为室内设计师，主要产出是设计方案和图纸，CAD等软件仅作为设计工具辅助主业，移除后设计工作仍成立，故为auxiliary。无AI相关职责。,False,False
31,1,熟悉ERP/MES|具备ERP项目推动经验,岗位核心是生产运营管理，ERP/MES是辅助管理工具，移除后管理职责仍成立，因此为1分；未涉及系统开发或AI，故不是2或3分。,1,具备ERP项目推动经验|熟悉ERP/MES,岗位为生产运营经理，主要产出是生产计划、交付协调等管理职责。要求熟悉ERP/MES，但职责中未明确承担系统开发、配置或运维，仅作为管理工具使用，故为auxiliary而非core。,False,False
32,1,熟练使用PR、AE、PS等剪辑软件,岗位核心是摄像剪辑，PR/AE/PS是辅助创作工具，移除后剪辑工作仍可进行，因此为1分；未涉及软件开发或AI，故不是2或3分。,1,熟练使用PR、AE、PS等剪辑软件,岗位为摄像剪辑，主要产出是视频拍摄和剪辑，剪辑软件是完成创意工作的工具，移除后岗位仍成立，故为auxiliary。无AI相关职责。,False,False
33,0,,岗位职责为证券事务、法律合规，未明示要求任何数字工具或技术，因此为0分；不是1分，因为无任何数字工具使用要求。,0,,岗位为证券事务专员，职责涉及法律合规、证照办理等，未明示任何数字技术对象，故为none。,False,False
34,0,,岗位职责为车间生产管理，未明示要求任何数字工具或技术，因此为0分；不是1分，因为无任何数字工具使用要求。,0,,岗位为车间管理，职责为生产管理、质量、安全等，未明示任何软件、数据、信息系统等数字技术对象，故为none。,False,False
35,0,,岗位职责为市场拓展、客户关系维护和品牌推广，未明示要求任何数字工具、信息系统、编程或AI技术。移除数字技术后核心产出仍成立，因此为0分，不是1分（无工具使用要求）。,0,,岗位职责为市场拓展、客户关系、合同谈判、品牌维护，任职资格要求市场营销知识，全文未出现软件、数据、信息系统、编程、数字控制等数字技术对象，因此technology_role为none。,False,False
36,1,对案件损失进行系统预估录入,岗位核心是车物查勘定损，系统录入是辅助性数字工具使用，移除后查勘定损仍成立，因此为1分。不是0分（明确提及系统录入），也不是2分（系统录入非核心产出）。,1,对案件损失进行系统预估录入,岗位主要产出是车物查勘定损，使用系统进行预估录入只是辅助完成主业，移除系统录入后查勘定损工作仍成立，故为auxiliary。未出现AI相关职责。,False,False
37,0,,岗位职责为药品质量保证，包括取样、环境监测、现场监督等，未明示要求任何数字工具或技术。移除数字技术后核心产出仍成立，因此为0分，不是1分（无工具使用要求）。,0,,岗位职责为药品取样、环境监测、现场监督、记录审核等质量保证工作，未明示任何软件、数据、信息系统、数字硬件等数字技术对象，故为none。,False,False
38,0,,岗位职责为设备维修管理，未明示要求使用数字工具、信息系统或编程。移除数字技术后核心产出仍成立，因此为0分，不是1分（无工具使用要求）。,0,,岗位负责重工/炼钢设备维修管理，涉及机械、电气、液压、传动系统，但未明示软件、数据、编程、数字控制等数字技术对象，故为none。,False,False
39,0,,岗位职责为生产任务安排、进度控制和人员管理，未明示要求任何数字工具或技术。移除数字技术后核心产出仍成立，因此为0分，不是1分（无工具使用要求）。,0,,岗位职责为电镀车间生产任务安排、进度控制、产量统计等生产运营管理，未出现任何数字技术对象，故为none。,False,False
40,1,对校招相关数据进行检测、整理、分析,岗位核心是校园招聘，数据分析是辅助性数字工具使用，移除后招聘工作仍成立，因此为1分。不是0分（明确提及数据分析），也不是2分（数据分析非核心产出）。,1,对校招相关数据进行检测、整理、分析,岗位主要产出是校园招聘策划、雇主品牌建设、活动组织，数据检测整理分析只是辅助招聘工作的工具性使用，移除后招聘主业仍成立，故为auxiliary。,False,False
41,0,,岗位职责为机械加工技术指导，未明示要求任何数字工具或技术。移除数字技术后核心产出仍成立，因此为0分，不是1分（无工具使用要求）。,0,,岗位职责为机械加工和压铸产品的图纸评审、工艺方案、现场指导、样品打样等，未明示任何数字技术对象，故为none。,False,False
42,0,,岗位职责为内部审计，未明示要求任何数字工具或技术。移除数字技术后核心产出仍成立，因此为0分，不是1分（无工具使用要求）。,0,,岗位职责为财务审计、现场审计、审计报告、整改跟进等，未出现软件、数据、信息系统等数字技术对象，故为none。,False,False
43,0,,岗位核心是审计，描述中未提及任何数字工具、信息系统或技术使用要求，因此为0分。不是1分，因为无任何数字工具要求。,0,,岗位职责为审计、证据收集、问题跟进和档案管理，任职要求为财务审计专业和经验，未明示任何软件、数据、信息系统、编程等数字技术对象。因此technology_role为none，score为0。,False,False
44,0,,岗位是金融产品销售，描述中未明示要求使用数字工具或技术，仅列出金融产品和服务，因此为0分。不是1分，因为无任何数字工具要求。,0,,岗位为综合金融客户经理，职责是销售保险、证券、银行等金融产品，未明示要求使用数字工具、系统或技术。标签中的“银行”“信贷”等指产品而非技术。因此technology_role为none，score为0。,False,False
45,0,,岗位是资产管理，描述中仅提及行政工作经验和电脑验收，但未明确要求使用数字工具或系统，因此为0分。不是1分，因为无明确数字工具要求。,1,负责总部电脑以及无分公司地区电脑验收、升级、维修管理,岗位职责包括电脑验收、升级、维修管理，涉及数字硬件（电脑）的维护，但主要产出是资产和库存管理，数字技术仅辅助主业。因此technology_role为auxiliary，score为1。,True,False
46,1,会使用UG、CAD、办公软件等,岗位核心是项目助理，使用UG、CAD和办公软件是辅助工具，移除后项目助理工作仍可进行，因此为1分。不是2分，因为软件使用不是核心产出。,1,会使用UG、CAD、办公软件等,岗位为项目助理工程师，职责是文件编制、进度跟进等，任职资格要求使用UG、CAD和办公软件，但仅作为机械/模具设计的辅助工具，未承担软件开发或系统运维等核心数字技术工作。因此technology_role为auxiliary，score为1。,False,False
47,2,负责组织关键技术研究和攻关工作|负责大容量、高并发的应用产品或技术产品的架构设计、研发工作|精通Java EE相关技术、Spring、struts、iBatis等开源技术和框架,岗位核心是软件系统架构设计与研发，属于核心数字技术，因此为2分。不是3分，因为未明确涉及AI/ML。,2,"负责大容量、高并发的应用产品或技术产品的架构设计、研发工作|精通Java EE相关技术、Spring、struts、iBatis等开源技术和框架|熟悉linux操作系统,熟练运用关系数据库(Oracle、mysql",岗位为系统架构师，核心职责是软件架构设计、研发、性能测试等，明确涉及软件开发、数据库、分布式系统等数字技术，且为主要产出。未出现AI/ML相关职责，因此strict_ai为false，score为2。,False,False
48,0,,岗位是电商客服，描述中未提及任何数字工具或技术使用要求，因此为0分。不是1分，因为无任何数字工具要求。,0,,岗位为电商客服，职责是在线客服、客户信息管理、电话回访等，未明示要求使用数字工具或系统。标签“电商客服”仅表明行业，无具体数字技术对象。因此technology_role为none，score为0。,False,False
49,1,能够掌握并熟练操作基本的办公软件,岗位核心是生产管理，办公软件是辅助工具，移除后生产管理职责仍成立，因此为1分。不是2分，因为软件使用不是核心产出。,1,能够掌握并熟练操作基本的办公软件,岗位为干法生产经理，职责是生产管理、质量控制等，任职资格要求熟练操作办公软件，但仅作为管理辅助工具，未承担数字技术开发或运维。因此technology_role为auxiliary，score为1。,False,False
51,1,熟练掌握CAD/MATLAB等设计软件,岗位核心是水冷板研发，CAD/MATLAB是辅助设计工具，移除后研发工作仍可进行，因此为1分。不是2分，因为软件使用不是核心产出，且未涉及AI/ML。,1,熟练掌握CAD/MATLAB等设计软件,岗位为水冷板研发工程师，职责是产品研发、工艺优化等，任职资格要求使用CAD/MATLAB，但仅作为机械设计和分析的辅助工具，未承担软件开发或数字系统核心工作。因此technology_role为auxiliary，score为1。,False,False
52,1,熟练掌握该岗位相关的数据处理和办公软件|熟悉化工行业主流的三维配管软件如PDMS等的使用,岗位核心是配管设计，使用PDMS等软件是辅助设计工具，移除软件后设计产出仍存在，因此为1分；不是0分因为明确要求使用专业软件，不是2分因为软件使用是辅助而非核心开发。,1,熟悉化工行业主流的三维配管软件如PDMS等的使用|熟练掌握应力计算软件|熟练掌握该岗位相关的数据处理和办公软件,数字技术对象为PDMS、应力计算软件和数据处理软件，但仅作为配管设计工具使用。移除这些软件后，岗位主要产出（三维配管、管道技术文件编制）仍可成立，故为辅助。未承担软件开发或系统运维，不构成核心。,False,False
54,0,,岗位职责为行政事务，未明示要求任何数字工具或技术，因此为0分；不是1分因为无任何软件或系统使用要求。,0,,岗位职责为行政事务、员工服务、采购、文件管理、环境维护和接待，未明示任何数字工具、软件、数据或信息系统要求。任职资格仅提及“优化意识”和“解决问题”，无数字技术对象，故为none。,False,False
55,0,,岗位描述仅要求学历、经验、开车等，未提及任何数字工具或技术，因此为0分；不是1分因为无相关要求。,0,,岗位为董事长秘书，要求机械行业助理经验、开车等，未明示任何数字工具、软件、数据或信息系统。无数字技术对象，故为none。,False,False
56,2,部门经营数据分析治理|系统性BI报表设计|健全管理数据支持模式,岗位明确将数据分析治理和BI报表设计列为核心职责，属于数据系统建设，技术为核心产出，故评为2分；不是1分因为数据治理是核心而非辅助，不是3分因为未涉及AI/ML。,2,"部门经营数据分析治理;系统性BI报表设计|协助销售总监搭建“一表一会”制度体系,健全管理数据支持模式",数字技术对象为经营数据分析治理和BI报表设计，构成岗位主要产出。移除后，数据治理和报表体系无法交付，故为核心。未涉及AI/ML，仅为数据分析和报表，不构成严格AI。,False,False
57,0,,岗位职责为订单制作、资料收发、生产安排等，未明示要求数字工具或技术，因此为0分；不是1分因为无软件或系统使用要求。,0,,岗位职责为订单制作、资料收发、安排生产、合同传递等，未明示任何数字工具、软件或信息系统。虽可能使用办公软件，但原文未提及，不能推测，故为none。,False,False
58,1,熟练使用办公软件,岗位核心是房地产开发管理，办公软件是辅助工具，移除后管理职责仍成立，因此为1分；不是0分因为明确要求使用办公软件，不是2分因为软件使用是辅助而非核心开发。,1,熟练使用办公软件,数字技术对象仅为办公软件，用于辅助房地产项目开发管理主业。移除办公软件后，岗位主要产出（项目报建、谈判、投标）仍成立，故为auxiliary。未涉及系统开发或数据分析，不构成核心。,False,False
59,0,,岗位职责为企业文化建设、宣传、稿件撰写等，未明示要求数字工具或技术，因此为0分；不是1分因为无软件或系统使用要求。,0,,岗位职责为企业文化制度制定、方案实施、宣传推广和稿件撰写，未明示任何数字工具、软件或信息系统。虽可能使用办公软件，但原文未提及，不能推测，故为none。,False,False
60,1,对VIP会员客户保单整理|对VIP会员客户资料变更录入,岗位核心是保险业务服务，录入和整理保单涉及使用信息系统，但属于辅助性操作，移除后服务职责仍成立，因此为1分；不是0分因为明确涉及系统录入，不是2分因为系统使用是辅助而非核心开发。,0,,岗位职责为保单整理、资料变更录入、协助理赔、业务咨询和活动邀请，未明示任何数字工具、软件或信息系统。虽涉及“录入”和“追踪”，但无具体数字对象，不能推测为数字技术，故为none。,True,False
61,0,,岗位是金融销售，职责为沟通、客户开发、销售，未明示要求任何数字工具、信息系统、编程或AI技术。因此为0分，不是1分（无辅助数字工具要求）。,0,,岗位为金融销售，职责仅涉及客户开发、沟通和销售，未明示任何数字工具、软件、数据或信息系统要求。标签中的金融领域不构成数字技术对象。,False,False
62,0,,岗位是施工项目经理，职责为施工计划、质量安全、现场协调，未明示要求数字工具或技术。因此为0分，不是1分（无辅助数字工具要求）。,0,,岗位为装饰/幕墙/市政项目经理，职责为施工计划、质量监督、现场协调等，未明示软件、数据、信息系统或数字硬件等技术对象。任职资格中的专业和证书不涉及数字技术。,False,False
63,0,,岗位是制剂研发，职责为制剂研发流程及设备操作，未明示要求数字工具、编程或AI。因此为0分，不是1分（无辅助数字工具要求）。,0,,制剂研发岗位，职责涉及研发流程及设备操作，但未明示任何数字技术对象如软件、数据、编程或信息系统。药学、化学等专业背景不自动构成数字技术。,False,False
64,1,熟练掌握办公软件的运用,岗位是人事行政，核心为人事档案、薪资核算等，要求熟练使用办公软件作为辅助工具。因此为1分，不是0分（明确要求办公软件），也不是2分（软件非核心产出）。,1,熟练掌握办公软件的运用,岗位为人事行政，主要产出是人事档案、薪资核算等非数字主业。要求熟练掌握办公软件，属于辅助工具使用，移除后岗位仍成立，故为auxiliary而非core。,False,False
65,1,熟悉办公软件操作,岗位是车物查勘定损，核心为现场查勘、定损、理赔，要求熟悉办公软件作为辅助。因此为1分，不是0分（明确要求办公软件），也不是2分（软件非核心产出）。,1,熟悉办公软件操作,岗位为车物查勘定损，主要产出是现场查勘、定损和理赔指引，非数字技术主业。要求熟悉办公软件操作，仅为辅助工具，移除后岗位核心职责不变，故为auxiliary。,False,False
66,1,熟悉使用日常office办公软件|熟悉2D/3D等相关设计软件,岗位是IE工程师，核心为精益生产、现场改善，使用办公软件和设计软件作为辅助工具。因此为1分，不是0分（明确要求软件），也不是2分（软件非核心产出，未涉及开发或AI）。,1,熟悉使用日常office办公软件、熟悉2D/3D等相关设计软件,IE工程师岗位，主要产出为精益生产改善、产能评估和效率提升，属于工业工程主业。要求使用Office和2D/3D设计软件，但仅作为工具辅助主业，移除后岗位仍成立，故为auxiliary而非core。,False,False
67,0,,岗位是招聘专员，描述仅提及招聘相关工作，未明示任何数字工具或技术要求。因此为0分，不是1分（无辅助数字工具要求）。,0,,招聘专员岗位，描述仅提及招聘相关工作，未明示任何数字工具、软件或系统要求，故为none。,False,False
68,0,,岗位是医疗器械销售代表，职责为产品销售、跟台、客户维护，未明示要求数字工具或技术。因此为0分，不是1分（无辅助数字工具要求）。,0,,医疗器械销售代表岗位，职责为产品销售、术中跟台、客户维护等，未明示任何数字技术对象如软件、数据或信息系统。临床跟台为手术辅助，非数字技术。,False,False
69,0,,岗位职责为化学工艺实验与生产跟踪，未明示要求任何数字工具、信息系统、编程或数据分析。因此为0分，不是1分（无辅助数字工具要求）。,0,,岗位职责为化学工艺优化实验、样品制作和参数调整，未明示任何软件、数据、信息系统、编程或数字硬件等数字技术对象。因此technology_role为none，score为0。,False,False
70,0,,岗位为车险销售经理，职责包括报价咨询、出单、关系维护等，未明示要求使用数字工具或系统。因此为0分，不是1分（无辅助数字工具要求）。,1,线上化推动,岗位主要产出是保险销售和4S店关系维护，数字技术仅体现为“线上化推动”，属于辅助销售的工具，移除后销售主业仍成立。未承担系统开发、运维或数据分析等核心数字技术工作，故为auxiliary而非core。,True,False
71,0,,岗位为综合金融与健康服务顾问，职责涉及法律、金融、保险等服务，未明示要求数字工具或技术。因此为0分，不是1分（无辅助数字工具要求）。,0,,岗位职责为提供法律、金融、健康等综合服务，未明示任何数字工具、软件、数据或系统要求。虽然提及“线上化”等概念，但未在岗位职责中明确数字技术交付，故technology_role为none。,False,False
72,1,掌握办公软件使用方法|具备基本的网络知识,岗位为生产统计，核心职责是报表统计与数据处理，但要求仅为办公软件和基本网络知识，属于辅助工具使用，非核心数字技术产出。因此为1分，不是0分（有明确数字工具要求）或2分（非软件开发或系统建设）。,1,"报表统计、汇总及上报|掌握办公软件使用方法,具备基本的网络知识",岗位主要产出是生产统计和档案管理，使用办公软件和网络知识仅作为辅助工具，移除后统计主业仍成立。未涉及系统开发、数据分析平台建设等核心数字技术，故为auxiliary。,False,False
73,2,信息安全管理制度体系建设|等级保护测评、信息安全风险评估|数据安全防护体系的规划与建设,岗位核心职责是信息安全体系管理、合规检查与数据安全建设，属于信息系统安全领域的核心数字技术工作，但未涉及AI/ML研发。因此为2分，不是1分（非辅助工具使用）或3分（无AI/ML要求）。,2,信息安全管理制度体系建设|信息安全合规性安全检查|数据安全防护体系的规划与建设,岗位核心职责是信息安全体系建设和合规检查，属于信息系统安全领域，数字技术是主要产出。未涉及AI/ML研发，故strict_ai为false，score为2。,False,False
74,1,熟练使用Excel等办公软件,岗位为HR运营专员，核心职责是员工入职手续与档案管理，要求熟练使用Excel等办公软件，属于辅助工具使用。因此为1分，不是0分（有明确数字工具要求）或2分（非软件开发或系统建设）。,1,将新员工信息录入人力资源系统|熟练使用Excel等办公软件,岗位主要产出是HR运营事务，使用人力资源系统和Excel仅作为辅助工具，移除后HR主业仍成立。未承担系统开发、运维或数据分析等核心数字技术工作，故为auxiliary。,False,False
75,1,应用solidworks软件做自动化设备机构设计与制造,岗位为机械工程师，核心职责是自动化设备机械设计，使用SolidWorks作为专业工具，但机械设计本身是核心产出，软件仅为辅助。因此为1分，不是0分（有明确数字工具要求）或2分（非软件开发或核心数字技术）。,1,应用solidworks软件做自动化设备机构设计与制造,岗位主要产出是机械设计，使用SolidWorks作为辅助工具，移除后机械设计主业仍成立。未涉及软件开发、数字控制系统编程等核心数字技术，故为auxiliary。,False,False
76,0,,岗位为物业市场拓展经理，职责包括项目拓展、商务谈判、方案拟定等，未明示要求任何数字工具或技术。因此为0分，不是1分（无辅助数字工具要求）。,0,,岗位职责为物业市场拓展、商务谈判和项目落地，未明示任何数字工具、软件、数据或系统要求。虽然提及市场调研和收益测算，但未明确数字技术对象，故technology_role为none。,False,False
77,0,,岗位职责为查勘定损、理赔服务，未明示要求任何数字工具、信息系统或编程技能，因此为0分；不是1分，因为未提及Office等辅助工具。,0,,岗位职责为查勘定损、理赔协谈和客户服务，未明示任何软件、数据、信息系统、编程或数字硬件等数字技术对象。机械、汽车、医疗专业背景不自动构成数字技术。,False,False
78,0,,岗位为客户经理，职责为老客户维护、保全、理赔等，未明示要求数字工具或技术，因此为0分；不是1分，因为未提及任何数字工具使用。,0,,职责为客户维护、保全、理赔和二次开发，未明示数字工具、系统或数据要求。保险代理人岗位本身不包含数字技术交付。,False,False
79,0,,岗位为销售经理，职责为销售、团队管理，未明示要求数字工具或技术，因此为0分；不是1分，因为未提及Office等辅助工具。,0,,销售岗位，职责为销售、团队管理和客户开发，未明示任何数字技术对象。电销经验仅作为任职资格提及，不构成数字技术交付。,False,False
80,0,,岗位为省区经理，职责为销售计划、团队管理、渠道拓展，未明示要求数字工具或技术，因此为0分；不是1分，因为未提及任何数字工具使用。,1,确保各项销售数据、信息的准确性,岗位主要产出为销售管理，要求确保销售数据准确性，属于辅助性数据运营，移除后销售主业仍成立。未提及AI。,True,False
