canonical_id,score,evidence,reason,confidence,model,prompt_version,schema_version,prompt_fingerprint,stage,thinking,content_hash,label_status,input_tokens,output_tokens,primary_score,audit_score
16,0,,岗位是客服理赔部现场作业岗，职责是理赔指引、咨询、流程执行和现场调查，未明示要求任何数字工具或技术。因此为0分。不是1分，因为没有提及Office、系统或数据分析等任何数字工具。,high,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,db709ed21d954569c3e3a222d5d7c1cfd5204d8e5da3973f8c5993c8b68a33ef,llm_primary,2559,855,0,
17,0,,岗位职责为质量检验、记录整理、信息传递等，未明示要求使用数字工具、信息系统或编程。因此为0分，不是1分（无任何数字工具要求）。,high,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,59bf97825ebfabe4111466d49a06007325bf65960901111b9e72670d2cff2cc8,llm_primary,3092,680,0,
18,0,,岗位职责为招聘执行、渠道管理、校园招聘等，未明示要求使用数字工具或系统。因此为0分，不是1分（无数字工具要求）。,high,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,db98792866ffbfb55dd34d3e140ede37b805e43b01996cdf1b4cafe60d59abab,llm_primary,3092,680,0,
20,0,,岗位职责为渠道销售、市场信息收集等，未明示要求使用数字工具或系统。因此为0分，不是1分（无数字工具要求）。,high,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,2b7147f30a7ffd232f59a4b6a1c52d48b0d824ae253d77ea5dc83b2c60d81a78,llm_primary,3092,680,0,
21,0,,岗位职责为半导体晶圆生产操作，未明示要求使用数字工具、编程或数据分析。因此为0分，不是1分（无数字工具要求）。,high,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,c23a7bcf002fe78ce52dd5fed0387a45f69a359c94b552d181caa831b06fd465,llm_primary,3092,680,0,
22,1,熟练使用财务软件,岗位核心是财务会计，使用财务软件是辅助工具，非核心产出。因此为1分，不是0分（明确要求使用财务软件），也不是2分（非软件开发或核心数字技术）。,medium,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,8f164541f19d309399bb789853feb305c432c27bb08f4c1771a27100a480502a,llm_primary,3092,680,1,
23,2,控制算法设计|算法实现|C/C++/Python编程|运动控制系统及控制算法设计,岗位核心是控制算法设计与实现，属于非AI专业算法，是核心数字技术。因此为2分，不是1分（算法是核心产出而非辅助工具），也不是3分（未涉及AI/ML）。,high,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,6130c99715e1b7ae846efa17ba75fb9ca1a4dcdc8d53da6b06ceea8ef3f48fac,llm_primary,3092,680,2,2.0
24,0,,岗位职责为功能食品销售，未明示要求使用数字工具或系统。因此为0分，不是1分（无数字工具要求）。,high,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,f932f5872cc800dd84d76ed5427f67009bd37647580575f66856cc14e8acf267,llm_primary,3092,680,0,
25,1,熟练运用电脑办公软件,岗位核心是工艺工程，使用办公软件是辅助工具，非核心产出。因此为1分，不是0分（明确要求使用办公软件），也不是2分（非软件开发或核心数字技术）。,medium,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,4e86b2a74843058a54219c226d2aa014c63b4f13f4a19478122193c3630592a4,llm_primary,3092,680,1,1.0
26,1,"熟悉电脑操作,MicrosoftOffice办公软件和ERP软件",岗位核心是订单审核、工艺卡制作等审单工作，电脑和ERP只是辅助工具，移除后审单仍可进行，因此为1分；未涉及软件开发或AI研发，故不是2或3分。,medium,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,d8f4210ce41eb0743bcf33d8f636287bfed4206fb3d66851cdad4b17ff73f915,llm_primary,3942,696,1,
27,0,,岗位职责为安全管理、消防、应急等，未明示要求任何数字工具、编程或AI技术，因此为0分；不是1分，因为无任何数字工具使用要求。,high,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,409cfb2e53fc3c1f80de8c3a4d28e2cf7b9a402b3d9c678c4da90b4fcf22f52f,llm_primary,3942,696,0,
29,0,,仅提及制造业相关岗位经验，未明示任何数字工具或技术，因此为0分；不是1分，因为无任何数字工具使用要求。,high,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,8197d038ef20e23260cb68bbc0cdc6c42c9d5e7851b7ddc811a40ca606ea8f72,llm_primary,3942,696,0,
30,1,熟练使用CAD、天正等软件,岗位核心是室内设计，CAD等软件是辅助设计工具，移除后设计工作仍可进行，因此为1分；未涉及软件开发或AI，故不是2或3分。,medium,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,d447a0cbbf40e140f23587efcc1d0c84501d8fbdac2db28297132a3336ad1c4e,llm_primary,3942,696,1,1.0
31,1,熟悉ERP/MES|具备ERP项目推动经验,岗位核心是生产运营管理，ERP/MES是辅助管理工具，移除后管理职责仍成立，因此为1分；未涉及系统开发或AI，故不是2或3分。,high,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,ad5fad88a86d6627937ade9c822b0434245fa84d0b0ca22cdb80f2cfab7c31df,llm_primary,3942,696,1,
32,1,熟练使用PR、AE、PS等剪辑软件,岗位核心是摄像剪辑，PR/AE/PS是辅助创作工具，移除后剪辑工作仍可进行，因此为1分；未涉及软件开发或AI，故不是2或3分。,medium,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,393a7f64a1be0866ae4a31aac4788255eb6676d4ddbdec83bac5906d3a1da0a8,llm_primary,3942,696,1,
33,0,,岗位职责为证券事务、法律合规，未明示要求任何数字工具或技术，因此为0分；不是1分，因为无任何数字工具使用要求。,high,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,6f6e028381c1837d0251e0639ba0f979ce63192adcef23838605776990ca77b9,llm_primary,3942,696,0,
34,0,,岗位职责为车间生产管理，未明示要求任何数字工具或技术，因此为0分；不是1分，因为无任何数字工具使用要求。,high,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,8cb7c8d7d60498e666830775d416971c0ed54cfdce7bf43f9deeb76d133e91a9,llm_primary,3942,696,0,
35,0,,岗位职责为市场拓展、客户关系维护和品牌推广，未明示要求任何数字工具、信息系统、编程或AI技术。移除数字技术后核心产出仍成立，因此为0分，不是1分（无工具使用要求）。,high,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,7e17ef794ff2ba97be142e7c16ec2d837f09321dab772fb707a4d4027c629bfe,llm_primary,2704,711,0,
36,1,对案件损失进行系统预估录入,岗位核心是车物查勘定损，系统录入是辅助性数字工具使用，移除后查勘定损仍成立，因此为1分。不是0分（明确提及系统录入），也不是2分（系统录入非核心产出）。,medium,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,0e7b17ce9ac2e146542b8b2289c8f7c34317d13ed556f75f08b34267433f23b9,llm_primary,2704,711,1,
37,0,,岗位职责为药品质量保证，包括取样、环境监测、现场监督等，未明示要求任何数字工具或技术。移除数字技术后核心产出仍成立，因此为0分，不是1分（无工具使用要求）。,high,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,d752620d2f78e82e05acf43cd6e760f1404e9180ff87ad314d4b12b65a64b475,llm_primary,2704,711,0,
38,0,,岗位职责为设备维修管理，未明示要求使用数字工具、信息系统或编程。移除数字技术后核心产出仍成立，因此为0分，不是1分（无工具使用要求）。,high,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,2f358bf90f70e47c98bbe4cb22d6210458e202f41443bf440a98cb72b92e3c1b,llm_primary,2704,711,0,
39,0,,岗位职责为生产任务安排、进度控制和人员管理，未明示要求任何数字工具或技术。移除数字技术后核心产出仍成立，因此为0分，不是1分（无工具使用要求）。,high,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,cf3601d1d59c0d8fd06f78a6b34a1cd21ce0dc53bab16b50378acdc1d6031c8e,llm_primary,2704,711,0,
40,1,对校招相关数据进行检测、整理、分析,岗位核心是校园招聘，数据分析是辅助性数字工具使用，移除后招聘工作仍成立，因此为1分。不是0分（明确提及数据分析），也不是2分（数据分析非核心产出）。,medium,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,34d64a7ede70621f39bcff294b007f9ffd3dd5a272a8fe046d7092e029189e35,llm_primary,2704,711,1,
41,0,,岗位职责为机械加工技术指导，未明示要求任何数字工具或技术。移除数字技术后核心产出仍成立，因此为0分，不是1分（无工具使用要求）。,high,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,fbaebfcf59b9d704f50a570cdcc205f40c4e3958f65eba1f986d29831c2ff012,llm_primary,2704,711,0,
42,0,,岗位职责为内部审计，未明示要求任何数字工具或技术。移除数字技术后核心产出仍成立，因此为0分，不是1分（无工具使用要求）。,high,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,5c9d978295bf190d8ee852db9b206a88b157935d6cffc1271b5f19b347d2f8e1,llm_primary,2704,711,0,
43,0,,岗位核心是审计，描述中未提及任何数字工具、信息系统或技术使用要求，因此为0分。不是1分，因为无任何数字工具要求。,high,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,5c9d978295bf190d8ee852db9b206a88b157935d6cffc1271b5f19b347d2f8e1,llm_primary,3545,698,0,
44,0,,岗位是金融产品销售，描述中未明示要求使用数字工具或技术，仅列出金融产品和服务，因此为0分。不是1分，因为无任何数字工具要求。,high,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,66e2368e09abf6c5abab72bf0eef4add313fd59f8f785a8e6d2f45e21c0725ef,llm_primary,3545,698,0,
45,0,,岗位是资产管理，描述中仅提及行政工作经验和电脑验收，但未明确要求使用数字工具或系统，因此为0分。不是1分，因为无明确数字工具要求。,medium,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,2e13487aa4ed6b3602bd92551573575188990eadfc2fc8ffcb38e660dc76b112,llm_primary,3545,698,0,
46,1,会使用UG、CAD、办公软件等,岗位核心是项目助理，使用UG、CAD和办公软件是辅助工具，移除后项目助理工作仍可进行，因此为1分。不是2分，因为软件使用不是核心产出。,medium,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,ff1747c22ca7d6e844c2b5c81d09d65db10a08e1ac543bee403536839a230878,llm_primary,3545,698,1,
47,2,负责组织关键技术研究和攻关工作|负责大容量、高并发的应用产品或技术产品的架构设计、研发工作|精通Java EE相关技术、Spring、struts、iBatis等开源技术和框架,岗位核心是软件系统架构设计与研发，属于核心数字技术，因此为2分。不是3分，因为未明确涉及AI/ML。,high,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,62ef172be7c9b61eb517eb7f38dc514e92bdb7cf01e2f18926ede830e5971dfe,llm_primary,3545,698,2,2.0
48,0,,岗位是电商客服，描述中未提及任何数字工具或技术使用要求，因此为0分。不是1分，因为无任何数字工具要求。,high,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,ef3926708220847b9d4f4674f092f0a90253283f218df3463526fe2d2a2cc63a,llm_primary,3545,698,0,
49,1,能够掌握并熟练操作基本的办公软件,岗位核心是生产管理，办公软件是辅助工具，移除后生产管理职责仍成立，因此为1分。不是2分，因为软件使用不是核心产出。,medium,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,c91955c1191df7a476a5c2033ea37f23eba41234b1e1919987f569ddc197a4cd,llm_primary,3545,698,1,
51,1,熟练掌握CAD/MATLAB等设计软件,岗位核心是水冷板研发，CAD/MATLAB是辅助设计工具，移除后研发工作仍可进行，因此为1分。不是2分，因为软件使用不是核心产出，且未涉及AI/ML。,medium,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,0b442369049bc4ecfcef61b96e5a7a44bce084b718a0057061ad6797222139e4,llm_primary,3545,698,1,
52,1,熟练掌握该岗位相关的数据处理和办公软件|熟悉化工行业主流的三维配管软件如PDMS等的使用,岗位核心是配管设计，使用PDMS等软件是辅助设计工具，移除软件后设计产出仍存在，因此为1分；不是0分因为明确要求使用专业软件，不是2分因为软件使用是辅助而非核心开发。,high,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,04606180542fa868adcd1c36c5bd5e41a316d6f4eae7b719e5a05aaf70c7247e,llm_primary,2662,745,1,
54,0,,岗位职责为行政事务，未明示要求任何数字工具或技术，因此为0分；不是1分因为无任何软件或系统使用要求。,high,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,6df367326603d05712bf20c3457cb051f5baeb5c5b3e8d9a6d152012a72223d8,llm_primary,2662,745,0,
55,0,,岗位描述仅要求学历、经验、开车等，未提及任何数字工具或技术，因此为0分；不是1分因为无相关要求。,high,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,3db6f75a91ff8ce29b5889c44de7427ccda13adbb3cd401b1d320218a26e6f9b,llm_primary,2662,745,0,
56,2,部门经营数据分析治理|系统性BI报表设计|健全管理数据支持模式,岗位明确将数据分析治理和BI报表设计列为核心职责，属于数据系统建设，技术为核心产出，故评为2分；不是1分因为数据治理是核心而非辅助，不是3分因为未涉及AI/ML。,medium,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,3b969269d1d8ec958c65099d547990311a541e71ef097607d55744309f3a8e08,llm_adjudicated,2662,745,2,1.0
57,0,,岗位职责为订单制作、资料收发、生产安排等，未明示要求数字工具或技术，因此为0分；不是1分因为无软件或系统使用要求。,high,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,05be15f0dad0e12978a8d89bf3972166c2a7d75d9c061a62becd1f61196102d2,llm_primary,2662,745,0,
58,1,熟练使用办公软件,岗位核心是房地产开发管理，办公软件是辅助工具，移除后管理职责仍成立，因此为1分；不是0分因为明确要求使用办公软件，不是2分因为软件使用是辅助而非核心开发。,medium,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,2544a43127fe34099e3bb1a4ab837706cd6a58919e43cffde1efc874ddf92adc,llm_primary,2662,745,1,
59,0,,岗位职责为企业文化建设、宣传、稿件撰写等，未明示要求数字工具或技术，因此为0分；不是1分因为无软件或系统使用要求。,high,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,6b978253390a885e969545b6fc421acede69d5c51cf9c060a089528d7d9ab870,llm_primary,2662,745,0,
60,1,对VIP会员客户保单整理|对VIP会员客户资料变更录入,岗位核心是保险业务服务，录入和整理保单涉及使用信息系统，但属于辅助性操作，移除后服务职责仍成立，因此为1分；不是0分因为明确涉及系统录入，不是2分因为系统使用是辅助而非核心开发。,medium,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,01525865afb0e25b9cad63a05f935cc111b918411f3b2b3c0addc9e06585555f,llm_primary,2662,745,1,
61,0,,岗位是金融销售，职责为沟通、客户开发、销售，未明示要求任何数字工具、信息系统、编程或AI技术。因此为0分，不是1分（无辅助数字工具要求）。,high,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,e2e3046eec370a9af90bcfa4d0c2b3fa14ea71c4b9338d9647c5a401b3178f1e,llm_primary,2789,708,0,
62,0,,岗位是施工项目经理，职责为施工计划、质量安全、现场协调，未明示要求数字工具或技术。因此为0分，不是1分（无辅助数字工具要求）。,high,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,65cd75cdb60491a14e7f6f2388f5391081c5a38452c3b662919ffbdec1707570,llm_primary,2789,708,0,
63,0,,岗位是制剂研发，职责为制剂研发流程及设备操作，未明示要求数字工具、编程或AI。因此为0分，不是1分（无辅助数字工具要求）。,high,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,30e6cb9a18cdcf105741e29276e037090932ec21bd353c12d1289d53eccccdeb,llm_primary,2789,708,0,
64,1,熟练掌握办公软件的运用,岗位是人事行政，核心为人事档案、薪资核算等，要求熟练使用办公软件作为辅助工具。因此为1分，不是0分（明确要求办公软件），也不是2分（软件非核心产出）。,medium,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,1d8c11bb63174f2441b70bcc7b28f8b30e4e06df53ccc1ce94b6d1fb217a1975,llm_primary,2789,708,1,
65,1,熟悉办公软件操作,岗位是车物查勘定损，核心为现场查勘、定损、理赔，要求熟悉办公软件作为辅助。因此为1分，不是0分（明确要求办公软件），也不是2分（软件非核心产出）。,medium,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,9e78ca5eb6027a2fc5198633a86914a4c5250bf02172f13fadb9fd5e40322363,llm_primary,2789,708,1,
66,1,熟悉使用日常office办公软件|熟悉2D/3D等相关设计软件,岗位是IE工程师，核心为精益生产、现场改善，使用办公软件和设计软件作为辅助工具。因此为1分，不是0分（明确要求软件），也不是2分（软件非核心产出，未涉及开发或AI）。,high,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,9b9a0224582d5d067b647961281f3aa8ee48bf2f1f9860e41dec4751f19c09b1,llm_primary,2789,708,1,
67,0,,岗位是招聘专员，描述仅提及招聘相关工作，未明示任何数字工具或技术要求。因此为0分，不是1分（无辅助数字工具要求）。,high,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,a738c8696ea3c1327df3a15193b1983121fe1741ae60eafceab1a38b424398ac,llm_primary,2789,708,0,
